"ParticipantID","Story ID"
"1","1"
"1","2"
"1","3"
"1","4"
"1","5"
"1","6"
"1","7"
"1","8"
"1","9"
"1","10"
"2","11"
"2","12"
"2","13"
"2","14"
"2","15"
"2","16"
"2","17"
"3","18"
"3","19"
"3","20"
"3","21"
"3","22"
"3","23"
"3","24"
"3","25"
"3","26"
"3","27"
"4","28"
"4","29"
"4","30"
"4","31"
"4","32"
"5","33"
"5","34"
"5","35"
"5","36"
"5","37"
"5","38"
"6","39"
"6","40"
"6","41"
"6","42"
"6","43"
"6","44"
"6","45"
"6","46"
"6","47"
"6","48"
"7","49"
"7","50"
"7","51"
"7","52"
"7","53"
"7","54"
"7","55"
"7","56"
"7","57"
"7","58"
"8","59"
"8","60"
"8","61"
"8","62"
"8","63"
"8","64"
"8","65"
"8","66"
"9","67"
"9","68"
"9","69"
"9","70"
"9","71"
"9","72"
"9","73"
"9","74"
"9","75"
"9","76"
"10","77"
"10","78"
"10","79"
"10","80"
"10","81"
"10","82"
"10","83"
"10","84"
"10","85"
"10","86"
"11","87"
"11","88"
"11","89"
"11","90"
"11","91"
"12","92"
"12","93"
"12","94"
"12","95"
"12","96"
"12","97"
"12","98"
"12","99"
"12","100"
"12","101"
"12","102"
"13","103"
"13","104"
"13","105"
"13","106"
"13","107"
"13","108"
"13","109"
"13","110"
"14","111"
"14","112"
"14","113"
"14","114"
"14","115"
"14","116"
"14","117"
"14","118"
"14","119"
"14","120"
"15","121"
"15","122"
"15","123"
"15","124"
"15","125"
"15","126"
"15","127"
"15","128"
"15","129"
"16","130"
"16","131"
"16","132"
"16","133"
"16","134"
"16","135"
"17","136"
"17","137"
"17","138"
"17","139"
"17","140"
"17","141"
"17","142"
"17","143"
"17","144"
"17","145"
"18","146"
"18","147"
"18","148"
"18","149"
"18","150"
"18","151"
"18","152"
"18","153"
"18","154"
"18","155"
"19","156"
"19","157"
"19","158"
"19","159"
"19","160"
"19","161"
"20","162"
"20","163"
"20","164"
"20","165"
"20","166"
"20","167"
"20","168"
"20","169"
"20","170"
"20","171"
